"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							Wissenschaftliche*r Mitarbeiter*in in der Provenienzforschung, E 13 TV-L, Vollzeit, zunächst befristet für zwei Jahre, Kennziffer 02/21						","/stellenangebote/57606","Stellenangebot","326","0,02 %"
"
							Biblio­theks­re­fe­ren­da­r*in – Beam­t*in auf Wider­ruf – Anwär­ter­be­züge Ein­gang­s­amt BesGr. A 13, Fachrichtung: Ar­chi­tek­tur, In­for­ma­tik, In­ge­nieur­we­sen, Ma­the­ma­tik, Na­tur- und Umwelt­wis­sen­schaf­ten, befristet bis 30.09.2023						","/stellenangebote/58937","Stellenangebot","326","0,02 %"
"
							Wissenschaftliche:r Volontär:in (m/w/d), Bezahlung: 50% von TV-L E13, Stufe 1, in Vollzeit, 144/2021						","/stellenangebote/61727","Stellenangebot","326","0,02 %"
"
							ASSISTANT HISTORY & LIBRARY INFORMATION SCIENCES (MWD), Teilzeit						","/stellenangebote/58370","Stellenangebot","322","0,02 %"
"
							3 Bibliothekare in den Gruppen Information, Metadaten, Digitale Publikationen, A10, unbefristet						","/stellenangebote/63711","Stellenangebot","322","0,02 %"
"
							Bibliothekar / Informationsspezialist (m/w/d), E 9b, unbefristete Vollzeitstelle						","/stellenangebote/63810","Stellenangebot","320","0,02 %"
"
							Bibliothekar/in, E 9 TVöD-Bund, befristet in Vollzeit, Stichwort „Bibliothek“						","/stellenangebote/60749","Stellenangebot","318","0,02 %"
"
							Bibliotheksleitung (m,w,d), unbefristet in Vollzeit						","/stellenangebote/63568","Stellenangebot","317","0,02 %"
"
							Leiter/-in Zentral- und Zweigbibliotheken (m/w/d), E 11 TVöD, unbefristet in Vollzeit, Kennziffer: 47AE2021						","/stellenangebote/58580","Stellenangebot","316","0,02 %"
"
							/blog/category/allgemein						","/blog/category/allgemein","","314","0,02 %"
"
							/stellentyp/referendariat						","/stellentyp/referendariat","","314","0,02 %"
"
							Stellenarchiv – manchmal geht es dann doch schneller						","/blog/51628","Beitrag","312","0,02 %"
"
							Bibliothekar (m/w/d), E9/A9, unbefristet, Vollzeit, Job-Id: 210709-478112						","/stellenangebote/63590","Stellenangebot","312","0,02 %"
"
							Bibliothekare (m/w/d) am Standort Leipzig oder Frankfurt am Main, E 9c TVöD, unbefristet						","/stellenangebote/64750","Stellenangebot","312","0,02 %"
"
							Bibliotheksreferendar*in (m/w/d), Kennziffer IAI-6-2021						","/stellenangebote/61067","Stellenangebot","308","0,02 %"
"
							Fachreferent*in (m/w/d) Geisteswissenschaften, EG 13 TV-L, unbefristet in Vollzeit, Kennziffer 126.21 – 3.1						","/stellenangebote/61137","Stellenangebot","308","0,02 %"
"
							Mitarbeiter*in der Abteilung Information & Bibliothek, Vollzeit						","/stellenangebote/61909","Stellenangebot","307","0,02 %"
"
							mehrere Stellen im Bereich b2b Kundenbetreuung (m/w/d), Vollzeit						","/stellenangebote/61985","Stellenangebot","307","0,02 %"
"
							Historischer Buchbestand; bis A13 bzw. bis E13 TVöD; unbefristet in Vollzeit						","/stellenangebote/66185","Stellenangebot","307","0,02 %"
"
							Abteilungsleiter*in Medienmanagmenent, E 12 TVöD bzw. A 13 LBesG, unbefristet in Vollzeit						","/stellenangebote/62219","Stellenangebot","306","0,02 %"
"
							Mitarbeiter_in in der Hochschulbibliothek Wissenschaftliche Informationskompetenz für Lehre und Forschung, E 13 TV-L, unbefristet, Vollzeit, Bib 02/21						","/stellenangebote/65401","Stellenangebot","303","0,02 %"
"
							Fachangestellten für Medien- und Informationsdienste –  Fachrichtung Bibliothek (m/w/d), EG 8 TVöD, Teilzeit, befristet bis zum 30.09.2022						","/stellenangebote/65982","Stellenangebot","303","0,02 %"
"
							Leitung der Bibliothek der Fachbereiche Sprache, Literatur und Medien sowie Geschichte und Philosophie, A14 / E 15 TV-L, unbefristet in Vollzeit						","/stellenangebote/66314","Stellenangebot","303","0,02 %"
"
							Leiterin/Leiter der Universitätsbibliothek (m/w/d), bis Besoldungsgruppe A 16, unbefristet in Vollzeit						","/stellenangebote/62602","Stellenangebot","302","0,02 %"
"
							Ausstellungsmanager (m/w/d) Bibliothek, E 12 TV-L, unbefristet, Vollzeit						","/stellenangebote/57279","Stellenangebot","301","0,02 %"
"
							Bibliotheksleitung (m/w/d) ab 1. März 2021 (oder früher, wenn möglich)						","/stellenangebote/58390","Stellenangebot","301","0,02 %"
"
							Stellenarchiv						","/stellenarchiv/page/5","Seite","301","0,02 %"
"
							Kultur- und Veranstaltungsmanager*in; E11 TV-L, unbefristet in Vollzeit; Kennziffer 28/21						","/stellenangebote/62979","Stellenangebot","300","0,02 %"
"
							Wissenschaftliche/r Mitarbeiter/in Metadaten, TV-L E 13, Teilzeit 50%, Kennziffer: DSS-04						","/stellenangebote/64086","Stellenangebot","300","0,02 %"
"
							Die Frage nach dem Volltext einer Stelle						","/blog/51606","Beitrag","299","0,02 %"
"
							Höherer Bibliotheksdienst A14/E 14 TV-L, Vollzeit, Betreff AZ 2021-2						","/stellenangebote/58650","Stellenangebot","298","0,02 %"
"
							Diplom-Bibliothekar/innen bzw.  Bachelor Bibliotheks- und Informationsmanagement (m/w/d)						","/stellenangebote/62337","Stellenangebot","298","0,02 %"
"
							Bibliothekar/in / Literaturversorgung & Bibliotheksaufbau						","/stellenangebote/67169","Stellenangebot","298","0,02 %"
"
							Teamleitung (m/w/d) für die Teams Katalog und Datenmanagement, unbefristet in Vollzeit, EG 9b TV-AVH						","/stellenangebote/60499","Stellenangebot","296","0,02 %"
"
							Zwei Ausbildungsplätze als Fachangestellte*r für Medien- und Informationsdienste – Fachrichtung Bibliothek – (m/w/d), befristet auf drei Jahre in Vollzeit (39,8 Wochenstunden), 51/2021						","/stellenangebote/63278","Stellenangebot","296","0,02 %"
"
							Bibliothekar (w/m/d) in Teilzeit/Vollzeit, zunächst befristet für 1 Jahr						","/stellenangebote/62079","Stellenangebot","295","0,02 %"
"
							Direktionsreferent (m/w/d), E 13, befristet, Vollzeit						","/stellenangebote/68448","Stellenangebot","295","0,02 %"
